DEPARTAMENTO,CLASE DE ESTUPEFACIENTE,CLASE DE SITIO,MES,CANTIDAD,NUMERO DE INCAUTACIONES
NARIÑO,BASUCO,PUESTO DE CONTROL,Apr,15100,1
NARIÑO,COCAINA,ALTAMAR,Jan,10309000,10
NARIÑO,HEROINA,VIAS PUBLICAS,May,36885,2
NARIÑO,MARIHUANA,PUESTO DE CONTROL,Feb,2789750,6
NORTE DE SANTANDER,BASE DE COCA,LABORATORIO DE CRISTALIZACION,Mar,600000,2
NORTE DE SANTANDER,BASUCO,ZONA SELVÁTICA,Mar,5000,1
NORTE DE SANTANDER,COCAINA,LABORATORIO DE CRISTALIZACION,Mar,2869000,3
NORTE DE SANTANDER,HEROINA,VIAS PUBLICAS,Jun,119,9
NORTE DE SANTANDER,MARIHUANA,CARRETERA,Feb,72866,7
PUTUMAYO,BASE DE COCA,LABORATORIO DE BASE,Apr,1098625,13
PUTUMAYO,BASUCO,LOTE BALDIO,Feb,19000,1
PUTUMAYO,COCAINA,LABORATORIO DE CRISTALIZACION,Apr,946000,1
PUTUMAYO,MARIHUANA,VIAS PUBLICAS,Jan,53291,8
QUINDÍO,BASE DE COCA,TRAMO DE VIA,Apr,18000,1
QUINDÍO,BASUCO,TRAMO DE VIA,Apr,20113,3
QUINDÍO,COCAINA,TRAMO DE VIA,Feb,500000,1
QUINDÍO,HEROINA,TRAMO DE VIA,Apr,3000,1
QUINDÍO,MARIHUANA,TRAMO DE VIA,Jan,509940,8
RISARALDA,BASE DE COCA,PUESTO DE CONTROL,Jun,158300,1
RISARALDA,BASUCO,CARRETERA,Apr,5575,2
RISARALDA,COCAINA,EMPRESA,Jan,171700,1
RISARALDA,HEROINA,EMPRESA,Jan,7200,1
RISARALDA,MARIHUANA,CARRETERA,Apr,3919482,10
SAN ANDRÉS,BASE DE COCA,VIAS PUBLICAS,Feb,8,1
SAN ANDRÉS,BASUCO,VIAS PUBLICAS,Jun,2,1
SAN ANDRÉS,COCAINA,PUERTO,Jun,452000,1
SAN ANDRÉS,MARIHUANA,AEROPUERTO,Feb,45069,3
SANTANDER,BASE DE COCA,VIAS PUBLICAS,Apr,121335,29
SANTANDER,BASUCO,CARRETERA,Jun,8115,3
SANTANDER,COCAINA,CARRETERA,Mar,25206,3
SANTANDER,MARIHUANA,TRAMO DE VIA,Apr,517740,6
SUCRE,BASE DE COCA,VIAS PUBLICAS,May,4644,31
SUCRE,BASUCO,VIAS PUBLICAS,Jun,1797,11
SUCRE,COCAINA,VIAS PUBLICAS,Jan,65453,15
SUCRE,MARIHUANA,PARQUEADERO,Apr,250000,1
TOLIMA,BASE DE COCA,CARRETERA,Jun,91260,4
TOLIMA,BASUCO,VIAS PUBLICAS,Mar,5734,37
TOLIMA,COCAINA,CARRETERA,Jun,420948,2
TOLIMA,HEROINA,CARRETERA,Apr,255,3
TOLIMA,MARIHUANA,CARRETERA,Mar,602444,4
VALLE,BASE DE COCA,CARRETERA,May,191401,9
VALLE,BASUCO,VIAS PUBLICAS,Jun,36902,92
VALLE,COCAINA,PUERTO,Apr,1897640,4
VALLE,HEROINA,VIAS PUBLICAS,Feb,17262,11
VALLE,MARIHUANA,CARRETERA,Mar,4904902,42
VAUPÉS,BASE DE COCA,VIAS PUBLICAS,May,91,1
VAUPÉS,BASUCO,VIAS PUBLICAS,Jun,30,1
VAUPÉS,COCAINA,VIAS PUBLICAS,May,77,3
VAUPÉS,MARIHUANA,BODEGAS Y SIMILARES,Jun,356,1
VICHADA,BASE DE COCA,VIAS PUBLICAS,May,62,5
VICHADA,BASUCO,VIAS PUBLICAS,Mar,20,1
VICHADA,COCAINA,VIAS PUBLICAS,Mar,728,1
VICHADA,MARIHUANA,VIAS PUBLICAS,Feb,17095,3
